Top Level Category,Link,Sub-Level Category,Link,Sub-Sub-level Category,Link
,,,,"Thermal Grip Gloves","www.protecdirect.co.uk/c/AFR"
,,,,"Trade Specific Gloves","www.protecdirect.co.uk/c/AFS"
,,"Safety Footwear","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Safety-Footwear~c~AG","Timberland Safety Boots","www.protecdirect.co.uk/c/AGA"
,,,,"Dr Martens Safety Footwear","www.protecdirect.co.uk/c/AGB"
,,,,"Caterpillar Safety Footwear","www.protecdirect.co.uk/c/AGC"
,,,,"DeWalt Safety Footwear","www.protecdirect.co.uk/c/AGD"
,,,,"JCB Safety Footwear","www.protecdirect.co.uk/c/AGE"
,,,,"Chukka Boots","www.protecdirect.co.uk/c/AGF"
,,,,"Rigger Boots","www.protecdirect.co.uk/c/AGG"
,,,,"Work Boots","www.protecdirect.co.uk/c/AGH"
,,,,"Work Shoes","www.protecdirect.co.uk/c/AGI"
,,,,"Executive Safety Shoes","www.protecdirect.co.uk/c/AGJ"
,,,,"Safety Trainers","www.protecdirect.co.uk/c/AGK"
,,,,"Hiker Boots","www.protecdirect.co.uk/c/AGL"
,,,,"Anti Slip Safety Footwear","www.protecdirect.co.uk/c/AGN"
,,,,"Ladies Safety Footwear","www.protecdirect.co.uk/c/AGP"
,,,,"Specialist Foundry Footwear","www.protecdirect.co.uk/c/AGQ"
,,,,"Wellington Boots","www.protecdirect.co.uk/c/AGR"
,,,,"Snow Chains","www.protecdirect.co.uk/c/AGS"
,,,,"Socks","www.protecdirect.co.uk/c/AGT"
,,,,"Footwear Accessories","www.protecdirect.co.uk/c/AGU"
,,"First Aid","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/First-Aid~c~AH","First Aid Kits","www.protecdirect.co.uk/c/AHA"
,,,,"Eyewash & Dispensers","www.protecdirect.co.uk/c/AHB"
,,,,"Plaster Kits","www.protecdirect.co.uk/c/AHC"
,,,,"Travel Kits","www.protecdirect.co.uk/c/AHD"
,,,,"First Aid Signage / HSE Book","www.protecdirect.co.uk/c/AHE"
,,,,"First Aid accessories","www.protecdirect.co.uk/c/AHF"
,,,,"Medical Equipment","www.protecdirect.co.uk/c/AHG"
,,"Fall Arrest Equipment","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Fall-Arrest-Equipment~c~AI",,
,,"Ebola Protection","https://www.protecdirect.co.uk/Personal-Protective-Equipment-PPE-/Ebola-Protection~c~AK",,
"Clothing & Workwear","https://www.protecdirect.co.uk/Clothing-and-Workwear~c~B","Hi-Vis Clothing","https://www.protecdirect.co.uk/Clothing-and-Workwear/Hi-Vis-Clothing~c~BA","Hi-Vis Waistcoats","www.protecdirect.co.uk/c/BAA"
,,,,"Hi-Vis Jackets","www.protecdirect.co.uk/c/BAB"
,,,,"Hi-Vis Trousers","www.protecdirect.co.uk/c/BAC"
,,,,"Hi-Vis Leisurewear","www.protecdirect.co.uk/c/BAD"
,,,,"Hi-Vis Boilersuits","www.protecdirect.co.uk/c/BAE"
,,,,"Railway Industry Waistcoats","www.protecdirect.co.uk/c/BAF"
,,,,"Railway Industry Trousers","www.protecdirect.co.uk/c/BAG"
,,,,"Railway Industry Jackets","www.protecdirect.co.uk/c/BAH"
,,,,"Railway Industry Boilersuits","www.protecdirect.co.uk/c/BAI"
,,,,"Pre-Printed Hi-Vis Waistcoats","www.protecdirect.co.uk/c/BAJ"
,,"Protective Workwear","https://www.protecdirect.co.uk/Clothing-and-Workwear/Protective-Workwear~c~BB","Boilersuits & Coveralls","www.protecdirect.co.uk/c/BBA"
,,,,"Flame Retardent Coveralls","www.protecdirect.co.uk/c/BBB"
,,,,"Warehouse Coats","www.protecdirect.co.uk/c/BBD"
,,,,"Tabards","www.protecdirect.co.uk/c/BBE"
,,,,"Knee Pads","www.protecdirect.co.uk/c/BBF"
,,,,"Aprons","www.protecdirect.co.uk/c/BBG"
,,,,"Accessories","www.protecdirect.co.uk/c/BBH"
,,"Disposable Workwear","https://www.protecdirect.co.uk/Clothing-and-Workwear/Disposable-Workwear~c~BC","Disposable Coveralls","www.protecdirect.co.uk/c/BCA"
,,,,"Disposable Overshoes","www.protecdirect.co.uk/c/BCB"
,,,,"Disposable Hoods","www.protecdirect.co.uk/c/BCC"
,,,,"Disposable Oversleeves","www.protecdirect.co.uk/c/BCD"
